USERID,Date,Transaction Description,Category,Amount,Type
cda654b6-343f-4356-9c1b-41abced34866,2024-08-07,Space moment travel these least.,Utilities,810.8,Expense
cda654b6-343f-4356-9c1b-41abced34866,2024-10-31,Item yet ever quite.,Health & Fitness,437.06,Income
cda654b6-343f-4356-9c1b-41abced34866,2024-11-06,Little result paper seven.,Utilities,872.6,Expense
cda654b6-343f-4356-9c1b-41abced34866,2024-01-09,Degree enter father of source.,Salary,2110.89,Expense
cda654b6-343f-4356-9c1b-41abced34866,2024-04-07,Cut yard knowledge.,Salary,39.97,Expense
cda654b6-343f-4356-9c1b-41abced34866,2024-08-31,Recognize media goal.,Utilities,267.46,Expense
cda654b6-343f-4356-9c1b-41abced34866,2024-08-05,Remain seven marriage.,Salary,4492.58,Income
cda654b6-343f-4356-9c1b-41abced34866,2024-03-03,Sometimes while sense window.,Travel,4560.58,Expense
cda654b6-343f-4356-9c1b-41abced34866,2024-04-08,Decide cultural start how thank.,Entertainment,468.98,Expense
cda654b6-343f-4356-9c1b-41abced34866,2024-11-04,Someone religious night buy nice.,Utilities,1214.12,Income
cda654b6-343f-4356-9c1b-41abced34866,2024-07-19,Control piece behavior message wind.,Rent,418.3,Income
cda654b6-343f-4356-9c1b-41abced34866,2024-09-29,Book economic.,Travel,3095.55,Expense
cda654b6-343f-4356-9c1b-41abced34866,2024-01-19,Effort drive side human.,Food & Drink,831.03,Income
cda654b6-343f-4356-9c1b-41abced34866,2024-01-09,One shoulder administration.,Shopping,375.08,Income
cda654b6-343f-4356-9c1b-41abced34866,2024-02-25,Show recently decide last.,Other,9285.97,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-05,Including let result spend.,Utilities,224.6,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-06,Detail data tell.,Shopping,4534.49,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-29,Be move fly open.,Health & Fitness,1314.03,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-20,Short congress turn east marriage.,Shopping,8078.47,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-08,Research month instead.,Entertainment,1150.26,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-09,Research visit program suddenly doctor.,Travel,6727.68,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-29,Quite as when.,Health & Fitness,915.96,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-07,Discussion detail training fund.,Salary,1898.35,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-04,Because career course.,Health & Fitness,140.35,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-07,Management necessary process not.,Health & Fitness,53.55,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-19,Eight bed fill.,Food & Drink,326.5,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-28,Across federal state.,Travel,1243.9,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-31,Future congress.,Health & Fitness,422.54,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-02,Stop unit might job close.,Entertainment,2653.49,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-22,Thought sit identify culture.,Entertainment,1242.33,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-29,Movement door kind.,Entertainment,5234.73,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-24,Somebody prepare few sound.,Shopping,185.0,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-17,Including time reflect.,Investment,136.03,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-07,True help.,Entertainment,4905.54,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-25,High issue deal democratic.,Health & Fitness,917.2,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-24,Space moment travel these least.,Shopping,1807.98,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-17,Strategy fight institution.,Salary,4798.62,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-01,Smile ever bag single.,Utilities,1520.76,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-04,Training account evidence month.,Travel,4594.75,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-27,Ball theory prepare much throughout.,Rent,1191.54,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-22,Born same usually.,Shopping,1469.14,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-28,One shoulder administration.,Investment,26.19,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-21,Because career course.,Food & Drink,499.54,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-07,Soon including important.,Rent,4254.67,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-25,Draw change agree someone.,Entertainment,2118.69,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-04,Take family chance.,Health & Fitness,1298.18,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-21,Teacher decide possible.,Investment,185.47,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-05,Into notice necessary true message.,Shopping,1150.21,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-08,Dinner rich decide do.,Salary,2883.08,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-26,Sometimes while sense window.,Health & Fitness,251.01,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-04,Thought sit identify culture.,Rent,3685.45,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-21,Medical buy series walk large.,Rent,96.32,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-05,Own test too imagine.,Food & Drink,337.05,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-12,Listen ok point so.,Food & Drink,666.71,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-17,Pressure activity defense detail.,Food & Drink,1802.19,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-21,Thousand live land hard.,Investment,3067.1,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-29,Story case.,Health & Fitness,1990.14,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-08,Sell only manage.,Travel,4376.31,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-11,Environmental outside bed institution.,Shopping,1718.3,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-09,Smile ever bag single.,Utilities,1343.13,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-11,Southern front.,Other,1996.91,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-12,Say unit four institution.,Other,4417.9,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-31,Gas teacher national weight all.,Rent,141.96,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-22,Woman daughter hospital move.,Entertainment,1248.57,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-25,New type pm.,Food & Drink,200.88,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-17,Degree enter father of source.,Food & Drink,1574.52,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-10-30,Market specific property coach.,Utilities,1025.9,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-30,Right know during someone.,Health & Fitness,333.36,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-14,Able customer figure.,Rent,1001.27,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-18,Significant up still management.,Salary,4084.43,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-24,Third rich hospital.,Investment,1641.12,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-05,Clear single expect.,Health & Fitness,2945.43,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-09,Break time manager kid.,Entertainment,1641.88,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-10,Industry impact certainly.,Travel,2457.56,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-09,Child ball store process.,Shopping,853.76,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-15,Forget once hope security.,Utilities,5388.76,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-19,In seven building hard.,Food & Drink,2971.95,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-20,Up hear draw.,Health & Fitness,1412.98,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-01,In seven building hard.,Rent,2029.38,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-22,Day fact modern.,Food & Drink,375.44,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-03,Ago race quite hour.,Entertainment,476.26,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-28,Environmental outside bed institution.,Health & Fitness,1288.0,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-10-02,A value lot.,Salary,5664.6,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-22,Leg drive second she.,Travel,800.89,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-11,Compare system white magazine after.,Shopping,125.58,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-19,Recognize media goal.,Salary,3457.05,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-27,Eight bed fill.,Investment,164.84,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-17,White likely teacher one.,Rent,8081.89,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-19,Heart still building.,Other,2382.84,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-30,Thought sit identify culture.,Investment,3484.18,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-08,Security unit executive.,Shopping,145.12,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-02,Different international sell several.,Travel,1500.71,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-10,Information though red.,Food & Drink,6215.14,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-10-20,Information though red.,Entertainment,5384.62,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-29,Table trade various risk art.,Other,1614.06,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-25,Evening ahead smile.,Health & Fitness,1007.25,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-11,Up hear draw.,Rent,556.72,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-10-23,Wide shoulder according strong.,Salary,497.29,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-26,Decision three trouble.,Utilities,650.2,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-20,Hear officer.,Food & Drink,2727.48,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-25,Us money positive.,Rent,8783.59,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-29,Information though red.,Health & Fitness,611.51,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-07,Project spring of.,Travel,683.02,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-24,Dinner rich decide do.,Shopping,126.1,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-27,Law agree appear political.,Utilities,2973.44,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-29,Future congress.,Salary,1733.17,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-16,Heart still building.,Investment,326.24,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-17,Reach step son.,Other,346.11,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-08,Hope floor include.,Investment,598.37,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-17,Natural own.,Health & Fitness,3100.11,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-06,Pressure activity defense detail.,Utilities,1649.63,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-29,Give that individual of not.,Rent,518.62,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-16,Be move fly open.,Entertainment,439.21,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-20,Clear single expect.,Other,230.11,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-15,Thousand live land hard.,Other,170.69,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-11,Himself fire heavy.,Health & Fitness,374.24,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-30,Wall act special.,Entertainment,5854.01,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-22,Security unit executive.,Travel,9569.3,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-07,Find job where.,Shopping,921.8,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-11,Hundred step according.,Other,204.55,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-08,Effect people.,Rent,9327.56,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-10-25,Evening ahead smile.,Entertainment,43.81,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-15,Item yet ever quite.,Travel,21.58,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-07,Build view.,Travel,3445.96,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-05,Stop unit might job close.,Food & Drink,782.77,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-07,Southern front.,Travel,2382.7,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-09,Recognize media goal.,Shopping,165.99,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-09,Tell brother defense list second.,Rent,3952.92,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-13,Fish either boy between collection.,Travel,665.91,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-20,Table trade various risk art.,Investment,1902.08,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-25,Environment character real middle prove.,Salary,421.86,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-01,Among black picture that treat.,Investment,2723.13,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-13,Somebody son suddenly perform.,Other,251.45,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-13,Increase consider.,Utilities,8814.8,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-07,Dinner no main year size.,Rent,5366.57,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-10-23,A let.,Shopping,3474.12,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-10-29,Movement door kind.,Shopping,2268.72,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-18,And student give score agree.,Health & Fitness,768.16,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-28,Serious reveal left social fine.,Salary,8421.09,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-17,Up hear draw.,Travel,7609.51,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-08,Different international sell several.,Investment,3989.71,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-22,Employee become happy water bring.,Shopping,1655.68,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-04,Little result paper seven.,Rent,845.57,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-29,Including let result spend.,Rent,4437.42,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-11,Agreement central six instead.,Other,1774.7,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-21,Eight bed fill.,Rent,1380.84,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-23,Why though decide bank likely.,Investment,873.13,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-10-18,National back everybody direction budget.,Travel,5104.1,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-12,You ready way rule.,Rent,6612.31,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-07,Gas teacher national weight all.,Other,2401.75,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-10-04,Research visit program suddenly doctor.,Shopping,430.69,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-06,Evening ahead smile.,Entertainment,2155.02,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-14,With young think there assume.,Rent,4179.11,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-12,Very figure drive special.,Health & Fitness,1285.93,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-25,Take family chance.,Investment,998.46,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-01,Worker range feel.,Food & Drink,1470.14,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-03,Bed report item.,Salary,9520.86,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-15,East list when.,Rent,1815.89,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-07,Hope floor include.,Salary,7544.14,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-06,Recognize media goal.,Food & Drink,3595.42,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-03,Red republican father party.,Entertainment,898.2,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-07,Item yet ever quite.,Health & Fitness,4402.7,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-10-17,Dinner no main year size.,Entertainment,422.52,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-27,Boy college mrs.,Rent,1003.4,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-18,Item yet ever quite.,Other,5440.67,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-07,Future congress.,Health & Fitness,416.96,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-18,Mother first hot free.,Utilities,337.76,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-04,Leg drive second she.,Travel,1768.88,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-28,Ahead plant trial affect.,Utilities,215.4,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-20,Sometimes while sense window.,Food & Drink,1439.31,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-07,Wide shoulder according strong.,Shopping,2497.69,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-09,Material produce station visit environmental.,Other,430.72,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-08,Discussion detail training fund.,Travel,2160.17,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-10,Fear song save.,Rent,5476.77,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-08,Why though decide bank likely.,Investment,255.76,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-10,Doctor population grow bar.,Salary,3927.34,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-04,Fish either boy between collection.,Food & Drink,37.19,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-05,Little result paper seven.,Investment,1665.64,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-11,Group never.,Food & Drink,1896.75,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-23,Cup red collection husband.,Travel,6684.21,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-12,As throughout individual list manager.,Shopping,623.17,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-05,City offer financial data.,Entertainment,2162.09,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-17,One shoulder administration.,Food & Drink,4872.75,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-23,Table trade various risk art.,Investment,942.1,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-01,Reach step son.,Shopping,1199.04,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-18,Stop unit might job close.,Entertainment,357.95,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-06,Build view.,Shopping,496.61,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-05,Day fact modern.,Entertainment,116.63,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-07,Evening ahead smile.,Investment,8289.39,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-24,Market specific property coach.,Entertainment,1861.03,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-21,And student give score agree.,Food & Drink,3495.55,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-16,Onto worry help hope.,Shopping,514.66,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-25,Southern front.,Health & Fitness,1020.7,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-03,Tell brother defense list second.,Salary,813.68,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-30,Including let result spend.,Food & Drink,1768.93,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-10,Into notice necessary true message.,Investment,1237.24,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-26,Allow news.,Salary,6851.47,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-19,Guess service this different.,Shopping,926.86,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-05,Decision where foreign trial.,Health & Fitness,1729.91,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-15,Woman whose already.,Food & Drink,39.4,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-23,Woman whose already.,Food & Drink,115.09,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-09,Arrive which consider.,Investment,1433.51,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-26,State serious activity pressure.,Rent,389.65,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-10-03,Heart still building.,Utilities,2969.85,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-28,Forget once hope security.,Health & Fitness,9676.53,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-10,Bit need allow.,Health & Fitness,305.67,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-14,Cost attorney.,Shopping,340.84,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-07,Himself fire heavy.,Rent,994.05,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-27,Likely evidence claim.,Rent,896.21,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-07,New type pm.,Investment,8901.03,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-30,Employee become happy water bring.,Investment,354.97,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-14,Right know during someone.,Other,3436.56,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-06-23,Notice street anything.,Health & Fitness,1487.22,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-09-14,Recognize media goal.,Travel,180.97,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-29,Life bad soon.,Other,5917.44,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-24,Open million house enough.,Health & Fitness,1279.71,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-20,Agreement central six instead.,Other,4761.21,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-05,Listen against coach.,Other,2656.62,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-06,Statement position either.,Rent,1124.99,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-12,True help.,Travel,1315.42,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-22,Sometimes while sense window.,Salary,3466.43,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-15,Important source first him.,Rent,1975.08,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-02-03,Including let result spend.,Shopping,9433.23,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-08-31,Talk thing rock ever summer.,Rent,806.49,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-07-01,Short for late education.,Health & Fitness,201.67,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-12,Worker range feel.,Travel,856.36,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-12-02,Five store ask data.,Other,1917.78,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-10-22,Build view.,Food & Drink,2926.28,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-05-02,Tell brother defense list second.,Shopping,462.74,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-04-05,Believe arrive.,Utilities,6097.27,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-03-24,Paper beyond indeed.,Other,1987.96,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-11-29,Man care resource.,Other,1225.18,Expense
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-30,New type pm.,Food & Drink,6391.55,Income
9c69cb53-5f75-4cd9-ba82-74ed3ba4df6f,2024-01-31,Land day name small.,Utilities,2513.81,Income
